capital,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country,lat,lon
N'Djamena,2003,28.786575342465753,3.248082367132342,468.5,66,0.0,0,43670.38038356164,38521.44115068493,1,Chad,12.11,15.05
Nairobi,2003,19.156986301369862,1.65799733967919,578.0,92,0.0,0,43613.02435616439,37038.42010958904,1,Kenya,-1.286388888,36.817222222
Naypyidaw,2003,25.752876712328764,2.734139818653245,1591.4,167,0.0,0,43717.16391780822,33751.77279452055,1,Myanmar,19.7475,96.115
New Delhi,2003,23.977260273972604,7.021743361581766,908.0,95,0.0,0,43791.18164383562,35387.65408219178,1,India,28.613888888,77.208888888
Ngerulmud,2003,26.48205479452055,0.5576391535399395,2997.1,296,0.0,0,43647.3261369863,34050.12860273972,3,Palau,7.500556,134.624167
Niamey,2003,29.160273972602738,3.3878475340168097,311.6,51,0.0,0,43678.137397260274,38875.356931506845,4,Niger,13.515,2.1175
Nicosia,2003,20.04780821917808,7.393298355099339,345.4,57,0.07,0,43864.16723287671,38392.013999999996,4,Cyprus,35.1725,33.365
Nouakchott,2003,26.375342465753423,3.6229230814872415,78.8,10,0.0,0,43706.13523287671,39401.25030136986,4,Mauritania,18.08581,-15.9785
Nuuk,2003,-2.1926027397260275,9.674700782975274,477.6,63,263.76,64,45043.819287671235,24590.867945205482,0,Greenland,64.175,-51.733333333
Oranjestad,2003,27.112054794520546,0.8444908065006091,551.5,92,0.0,0,43672.66780821918,39202.17397260274,1,Aruba,12.518611111,-70.035833333
Oslo,2003,6.300958904109589,8.780988636857142,628.6,99,107.31,22,44581.6348219178,27338.417890410958,0,Norway,59.913333333,10.738888888
Ottawa,2003,6.513835616438357,12.374873473671858,893.0,105,133.42,27,44032.92391780822,28953.537479452054,2,Canada,45.424722222,-75.695
Ouagadougou,2003,28.656027397260274,2.7848302470243746,699.4,89,0.0,0,43671.52005479452,37939.78523287671,1,Burkina Faso,12.368611111,-1.5275
Palikir,2003,24.272739726027396,0.4667112558714112,3743.2,302,0.0,0,43644.77978082192,33596.221178082196,3,Federated States of Micronesia,6.917777777,158.185
Panama City,2003,26.484794520547947,0.8820214507200632,2120.3,244,0.0,0,43654.25783561644,32842.61709589041,3,Panama,8.971111111,-79.534722222
Paris,2003,12.09835616438356,7.396688450761839,502.1,101,7.84,2,44112.214958904115,29117.670356164384,2,France,48.856666666,2.352222222
Philipsburg,2003,26.205479452054796,0.9398007169746597,814.0,146,0.0,0,43705.669972602744,39039.65076712328,1,Sint Maarten,18.024166666,-63.043333333
