capital,season,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine
Tbilisi,Summer,2018,25.241304347826084,3.7207068976798503,195.6,31,0.0,0,52562.3025,43255.38369565217
Tbilisi,Summer,2019,25.841847826086955,2.1691553677769733,84.2,17,0.0,0,52580.11347826087,44042.57065217391
Tbilisi,Summer,2020,25.02880434782609,2.5448637530797464,155.5,19,0.0,0,52525.743478260876,44967.517608695656
Tbilisi,Summer,2021,25.766304347826086,2.970894606595354,101.8,22,0.0,0,52543.445978260876,44719.197717391304
Tbilisi,Summer,2022,25.01413043478261,2.6153953127855174,130.8,17,0.0,0,52560.702826086956,43590.00978260869
Tbilisi,Summer,2023,24.7,2.9642744604579137,227.0,33,0.0,0,52578.48217391305,41733.30782608695
Tbilisi,Summer,2024,24.820108695652173,2.136985395706301,233.9,33,0.0,0,52523.70782608696,41611.92054347826
Tbilisi,Winter,1995,0.10555555555555554,3.999567704480272,17.4,5,9.8,4,35113.010888888886,27005.944
Tbilisi,Winter,1996,1.510989010989011,3.3503548916313175,77.1,20,17.57,4,35146.43978021978,22185.03945054945
Tbilisi,Winter,1997,0.823888888888889,3.2042214761802095,30.5,12,42.21,11,35151.20388888889,25561.90988888889
Tbilisi,Winter,1998,1.01,2.9427515214258118,22.4,7,18.76,4,35132.451555555555,25712.640444444445
Tbilisi,Winter,1999,3.0316666666666667,1.850894864046256,14.7,5,2.9400000000000004,1,35113.91311111111,28185.61233333333
Tbilisi,Winter,2000,0.28846153846153844,3.745308746530465,50.6,10,13.72,4,35147.600989010985,25624.840329670333
Tbilisi,Winter,2001,0.9766666666666667,3.2482942801318164,30.4,9,13.65,5,35151.89333333333,25331.87522222222
Tbilisi,Winter,2002,-0.7261111111111112,5.45617487413834,20.599999999999998,5,32.620000000000005,7,35133.32755555555,26531.663
Tbilisi,Winter,2003,0.8638888888888889,2.36504302853911,34.1,8,21.7,5,35115.39188888889,24656.395555555555
Tbilisi,Winter,2004,1.985714285714286,2.210873202483651,24.4,6,12.879999999999999,5,35148.906263736266,28530.86241758242
Tbilisi,Winter,2005,2.6216666666666666,2.7327811285628445,39.2,11,17.36,8,35153.61066666667,25914.167666666664
Tbilisi,Winter,2006,1.3527777777777779,2.3299390105234625,25.2,9,28.490000000000002,5,35135.24255555555,25522.298555555557
Tbilisi,Winter,2007,2.6727777777777777,1.7841556261652256,31.3,9,9.03,2,35117.627,27034.79
